,tweet_id,created_at,text,location,clean_tweet
55,1587663182725644288,2022-11-02 04:29:34+00:00,@elonmusk fix #twtr  #emojis.... Plz,1486748678458986500,"['fix', 'twtr', 'emoji', '...', 'plz']"
56,1587662387284434945,2022-11-02 04:26:25+00:00,@AOC The Richest man to have ever lived in the history of the world with $223.8 Billion Dollars preferred to own the Libs that were making fun of him on a popular social media app than solve world hunger J. #LexLuthor #TWTR @AOC,1188054740,"['richest', 'man', 'ever', 'live', 'histori', 'world', '223.8', 'billion', 'dollar', 'prefer', 'lib', 'make', 'fun', 'popular', 'social', 'media', 'app', 'solv', 'world', 'hunger', 'j', 'lexluthor', 'twtr']"
57,1587660616256430081,2022-11-02 04:19:22+00:00,@jwhoopes2 The Richest man to have ever lived in the history of the world with $223.8 Billion Dollars preferred to own the Libs that were making fun of him on a popular social media app than solve world hunger J. #LexLuthor #TWTR,1188054740,"['richest', 'man', 'ever', 'live', 'histori', 'world', '223.8', 'billion', 'dollar', 'prefer', 'lib', 'make', 'fun', 'popular', 'social', 'media', 'app', 'solv', 'world', 'hunger', 'j', 'lexluthor', 'twtr']"
58,1587647864360308736,2022-11-02 03:28:42+00:00,"Half of #TWTR users hate @elonmusk, if you charge them $8/per month in just 2 years you'll be getting your 44b back. It would be less than a year if you charge $1/per complaint. Let that sink in.🤣😂 https://t.co/0zH4x590zs",1375153050256429058,"['half', 'twtr', 'user', 'hate', 'charg', '8/', 'per', 'month', '2', 'year', 'get', '44b', 'back', 'would', 'less', 'year', 'charg', '1', 'per', 'complaint', 'let', 'sink', '🤣', '😂']"
59,1587646429912215554,2022-11-02 03:23:00+00:00,"such low-hanging, sensible move only goes to show how abysmal previous management was since #TWTR IPO...

Musk outlines Twitter premium subscription plan for $8 a month https://t.co/xveYWEntzE",1434422221,"['low-hang', 'sensibl', 'move', 'goe', 'show', 'abysm', 'previou', 'manag', 'sinc', 'twtr', 'ipo', '...', 'musk', 'outlin', 'twitter', 'premium', 'subscript', 'plan', '8', 'month']"
60,1587640547988078593,2022-11-02 02:59:38+00:00,"RT @Press_Reach: Twitter $TWTR Stock Suspended As #Musk Closes $44 Billion Transaction📊

https://t.co/JF790AMPe4

#Twitter #TWTR #Stocks #S…",3224562374,"['twitter', 'twtr', 'stock', 'suspend', 'musk', 'close', '44', 'billion', 'transact', '📊', 'twitter', 'twtr', 'stock', '…']"
61,1587632550217846784,2022-11-02 02:27:51+00:00,"@MKBHD VIP should for services, nothing to do with spams.  Spam&amp;bots will never be completely eliminated, keep fighting is the only way

#TWTR",15325885,"['vip', 'servic', 'noth', 'spam', 'spam', 'bot', 'never', 'complet', 'elimin', 'keep', 'fight', 'way', 'twtr']"
62,1587628926414647296,2022-11-02 02:13:27+00:00,@TheFungi669 I would change its name to TitanicTwitter. It would be a great opportunity to buy #TWTR puts.,469882984,"['would', 'chang', 'name', 'titanictwitt', 'would', 'great', 'opportun', 'buy', 'twtr', 'put']"
63,1587619109646503936,2022-11-02 01:34:26+00:00,They had some interesting insights about $TWTR #TWTR on https://t.co/KygHxt4E9i Definitely made me think twice about the company. #StockMarket #DayTrading https://t.co/fr1S2FnNdx,1129376663513501696,"['interest', 'insight', 'twtr', 'twtr', 'definit', 'made', 'think', 'twice', 'compani', 'stockmarket', 'daytrad']"
64,1587612646542643202,2022-11-02 01:08:46+00:00,Elon Musk for president 2024!                Make America Greater ! #dogecoin #TSLA #twtr #ELONMUSK,1367499167107584001,"['elon', 'musk', 'presid', '2024', 'make', 'america', 'greater', 'dogecoin', 'tsla', 'twtr', 'elonmusk']"
65,1587609660919619587,2022-11-02 00:56:54+00:00,"Now that @ElonMusk has officially acquired Twitter (#TWTR), the price of #Dogecoin (#DOGE 15.46%) is pumping. It was up 40% in just two days this week, due to the many indirect links between Twitter, Musk, &amp; Dogecoin.

Now that Dogecoin is pumping, Should we all get in the rally?",1489290106057994246,"['offici', 'acquir', 'twitter', 'twtr', 'price', 'dogecoin', 'doge', '15.46', 'pump', '40', 'two', 'day', 'week', 'due', 'mani', 'indirect', 'link', 'twitter', 'musk', 'dogecoin', 'dogecoin', 'pump', 'get', 'ralli']"
66,1587956601805328384,2022-11-02 23:55:31+00:00,“Because it’s not worth it ($8)” #TWTR https://t.co/a2RlNXY0d8,16577908,"['“', '’', 'worth', '8)', '”', 'twtr']"
67,1587955218242998272,2022-11-02 23:50:01+00:00,"Now that #twtr proved to become the worlds premier lib owning platform in less than a week, can we all call a truce and do normal again? https://t.co/BPUoWVZBJk",1402496550,"['twtr', 'prove', 'becom', 'world', 'premier', 'lib', 'own', 'platform', 'less', 'week', 'call', 'truce', 'normal']"
